,OBJECTID,PARKINGFACILITYID,PARKING_FACILITY,CATEGORY,SUBCATEGORY,NUM_SPACES,LOT_NUMBER,MAX_RATE,ADDRESS,LOCATION_DESCRIPTION,SOURCE,SOURCE_DATE,PARKING_COST,PAYMENT_METHOD,PARKING_ACCESS,HOURS,DAYS,PLOW_ROUTE,PROPERTYUNITID,OWNERSHIP,BUILDINGID,STATUS,STATUS_DATE,MUNICIPAL_FACILITY,DIVISION_RESPONSIBLE,CREATE_DATE,UPDATE_DATE,ACCESSIBLE_SPACES,CITY_FACILITY,PARKING_URL,MAP_LABEL,NUM_SPACES_2015,GlobalID,Shape__Area,Shape__Length,LATTITUDE,LONGITUDE
0,1687,5850,DOON PIONEER PARK CC AND LIBRARY,PARKING LOT,SURFACE LOT,80.0,,,150 PIONEER DR KITCHENER,DOON PIONEER PARK COMMUNITY CENTRE AND LIBRARY,ORTHO 2019,,FREE,FREE,PUBLIC,6:00 - 14:30,,14-Jan,1019633.0,KITCHENER,,ACTIVE,2008/09/17 14:14:15+00,Y,COMMUNITY PROGRAMS & SERVICES,2008/09/17 14:14:15+00,2021/04/13 11:15:29+00,2.0,Y,,,80.0,97546e84-ace7-4e6f-b72d-7bc0e504685e,4549.024414,599.4108786,43.3943152,-80.4371359
1,1689,5844,BRIDGEPORT COMMUNITY CENTRE,PARKING LOT,SURFACE LOT,24.0,,,20 TYSON DR KITCHENER,BRIDGEPORT COMMUNITY CENTRE,ORTHO 2019,2010/04/27 00:00:00+00,FREE FOR USE WHILE AT FACILITY,FREE,PUBLIC,,,01-Jan,1000636.0,KITCHENER,,ACTIVE,2010/04/27 15:31:31+00,Y,COMMUNITY PROGRAMS & SERVICES,2010/04/27 15:31:31+00,2021/04/06 15:42:49+00,2.0,Y,,,24.0,a4b5e685-848f-495b-9c62-c4ad5389e4fd,1062.716553,228.8798564,43.4826635,-80.47782113939812
2,1994,2152,GREEN ST,PARKING LOT,SURFACE LOT,78.0,LOT 12,13.5,787 KING ST W KITCHENER,GREEN ST BETWEEN KING AND PARK,https://tinyurl.com/ybzargzt,2017/03/30 00:00:00+00,2.75 PER HOUR / SUNDAYS FREE,HOURLY / MONTHLY,PUBLIC,8:00-24:00 M-S/12:00-24:00 SU,Monday - Sunday,,1003162.0,KITCHENER,,ACTIVE,2012/10/01 11:43:04+00,Y,AGREEMENT - INS - PARKING,2012/10/01 11:43:04+00,2021/04/13 10:56:46+00,4.0,N,http://app.kitchener.ca/parking/parking_detail.aspx?tid=12234,12,78.0,6e990e4e-6f3a-4a09-b03c-35aa95941425,3030.879395,281.0478868,43.455582899999996,-80.50900287030169
3,2002,5861,ROCKWAY COMMUNITY CENTRE,PARKING LOT,SURFACE LOT,114.0,,,1405 KING ST E KITCHENER,ROCKWAY COMMUNITY CENTRE,ORTHO 2019,2010/04/19 00:00:00+00,FREE FOR USE WHILE AT FACILITY,FREE,PUBLIC,,,01-Jun,4003605.0,KITCHENER,,ACTIVE,2010/04/19 10:04:27+00,Y,COMMUNITY PROGRAMS & SERVICES,2010/04/19 10:04:27+00,2021/04/06 15:42:49+00,6.0,Y,,,114.0,266d2249-075d-40f1-826c-a3f9e9a9cb7d,4043.693848,556.5855731,43.439664050000005,-80.46674135
4,2004,6612,COUNTRY HILLS COMMUNITY CENTRE,PARKING LOT,SURFACE LOT,63.0,,,100 RITTENHOUSE RD KITCHENER,RITTENHOUSE RD,ORTHO 2019,,FREE FOR USE WHILE AT FACILITY,FREE,PUBLIC,,,,1007205.0,KITCHENER,,ACTIVE,2013/11/04 12:05:47+00,Y,COMMUNITY PROGRAMS & SERVICES,2013/11/04 12:05:47+00,2021/04/06 15:42:49+00,,Y,,,63.0,615f8f7f-e984-4b80-9a18-e2885714cbc2,2439.869629,367.6464012,43.411418999999995,-80.4831067707776
5,2006,2085,KITCHENER MARKET GARAGE,PARKING LOT,UNDERGROUND,320.0,MARKET,14.5,300 KING ST E KITCHENER,MARKET,https://tinyurl.com/ybzargzt,2017/03/30 00:00:00+00,FIRST 2 HRS 3.20 EACH .5 HR THEREAFTER $1.65 / SUNDAY FREE,HOURLY / MONTHLY,PUBLIC,6:00 - 22:00,Monday - Saturday,,4003183.0,KITCHENER,2082409.0,ACTIVE,2003/07/02 15:08:05+00,Y,TRANSPORTATION PLANNING,2003/07/02 15:08:05+00,2019/11/15 10:05:32+00,10.0,Y,http://app.kitchener.ca/parking/parking_detail.aspx?tid=12248,C,320.0,a73adde2-76d8-4021-9317-ee4bb52604d8,11422.98755,430.2442754,43.44803585,-80.48349591220703
6,2010,2899,SCHNEIDER PARK,PARKING LOT,SURFACE LOT,,,,3595 KING ST E KITCHENER,SCHNEIDER PARK - WB (FREEPORT),OPERATIONS,,FREE,FREE,PUBLIC,,Monday - Saturday,15-1 SAND,1048642.0,KITCHENER,,ACTIVE,2004/06/08 13:04:07+00,Y,OPERATIONS,2004/06/08 13:04:07+00,2019/11/15 10:05:32+00,,Y,,,,09a31dac-c2b0-4793-abbc-c4aecb8ddc41,781.5314941,152.5789302,43.421817,-80.410451
7,2012,5848,CHANDLER MOWAT COMMUNITY CENTRE,PARKING LOT,SURFACE LOT,36.0,,,222 CHANDLER DR KITCHENER,CHANDLER MOWAT COMMUNITY CENTRE,ORTHO 2019,,FREE FOR USE WHILE AT FACILITY,FREE,PUBLIC,,,01-Sep,1051650.0,KITCHENER,,ACTIVE,2008/09/17 14:14:14+00,Y,COMMUNITY PROGRAMS & SERVICES,2008/09/17 14:14:14+00,2021/04/06 15:42:49+00,3.0,Y,,,36.0,5bc7ca80-88f8-4ea6-919f-4de8a14fecee,1500.498291,218.2554851,43.4226012,-80.50007849413714
8,2018,2895,WALTER BEAN TRAIL,PARKING LOT,SURFACE LOT,,,,RIVERBEND DR KITCHENER,WALTER BEAN - ECONOMICAL INSURANCE TRAILWAY,OPERATIONS,,FREE,FREE,PUBLIC,,Monday - Saturday,,1004757.0,KITCHENER,,ACTIVE,2004/06/04 11:49:30+00,Y,OPERATIONS,2004/06/04 11:49:30+00,2019/11/15 10:05:32+00,,Y,,SECONDARY ROUTE,,a8c138fc-5e91-4ecf-89c1-d9535d564a1f,818.6323242,167.8898555,43.466909,-80.4675138
9,2019,2903,WALTER BEAN TRAIL,PARKING LOT,SURFACE LOT,25.0,,,SHIRLEY DR KITCHENER,STANLEY PARK OPTIMIST NATURAL AREA,ORTHO 2016,2016/05/10 00:00:00+00,FREE,FREE,PUBLIC,,,,40261360.0,KITCHENER,,ACTIVE,2004/06/09 13:37:56+00,Y,OPERATIONS,2004/06/09 13:37:56+00,2019/11/15 10:05:32+00,,Y,,SECONDARY ROUTE,25.0,8df9c830-4bba-4b21-881b-d802cbb1905e,847.4255371,145.570918,43.4789386,-80.4254511
